Category,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7
Accountability and transparency concerns,Lack of transparency or explainability in decisions,No accountability for AI errors,,,,,
Bias and fairness issues,Bias or unfairness in AI decision-making,,,,,,
Emotional and relational impacts,AI causing disconnection or reduced family interaction,AI causing public embarrassment or shame,AI replacing human roles in the family,Emotional or relational harm to family,,,
Incorrect or harmful decision-making,AI acting on incomplete or inaccurate data,AI making decisions for children or vulnerable members,AI making harmful or wrong decisions,AI making legal or contractual commitments,Financial loss or unauthorized spending,Incorrect medical advice or health risks,Irreversible or hard-to-correct mistakes
Lack of human judgment and values,"AI making decisions based on logic, not values",AI making decisions that conflict with family values,AI misunderstanding family needs or context,"Lack of human judgment, empathy, or nuance",,,
Loss of control and autonomy,Decisions made without consent or approval,Difficulty overriding or reversing AI actions,Loss of personal control or autonomy,Loss of trust in technology,,,
Manipulation and third-party interests,AI acting in interests of third parties or companies,AI being manipulated or exploited by others,,,,,
Over-reliance and skill loss,"Over-reliance on AI, loss of human skills",,,,,,
Privacy and data security risks,Data privacy breaches and information leaks,"Security risks, hacking, and fraud",Unwanted sharing of sensitive health data,,,,
Uncategorized,Other,,,,,,
,Uninformative answer,,,,,,
