Recommended_Action,Identification_Method,Threshold_Used,Participant ID,Duration_Norm,LowQualityTag_Norm,UniversalDisagreement_Norm,ASC_Norm,PRI_Scale_1_5,Please explain your response,Please explain your response,Please explain your response
IGNORE,outliers,2.683,2992b000-5108-42e3-a6fd-74d34e9a992d,0.1910112359550561,0.5,0.3333333333333333,0.0,2.095880149812734,There was simply no “against all” option.,,
IGNORE,outliers,2.683,58c44f3a-fa3c-462b-aa39-8a90135ea4ff,0.0337078651685393,0.5,0.3333333333333333,0.5333333333333333,2.333782771535581,Yes no why i dont know yes,,
IGNORE,outliers,2.683,1f69f289-946c-498d-a4ca-a3277ceb5f38,0.146067415730337,0.5,0.3333333333333333,0.5333333333333333,2.468614232209738,"Since animals can speak, they have inherent rights and should be protected.",,
IGNORE,outliers,2.683,34d0bf04-23be-431b-97b2-d82b2c679edb,0.146067415730337,0.5,0.3333333333333333,0.6,2.521947565543071,,Everyone will feel included and no one is ignored,
IGNORE,outliers,2.683,7a09f318-bdab-4022-aa6c-4a4258df1189,0.1235955056179775,0.5,0.6666666666666667,0.3333333333333333,2.548314606741573,,The law keeps pace with the times,
IGNORE,outliers,2.683,f0b652a8-b60b-41ae-afbc-6abde07b282e,0.2359550561797752,0.5,0.3333333333333333,0.5333333333333333,2.5764794007490637,"Animals are not human beings after all, and it is impossible to give them equal rights without high intelligence and deep thinking. That is not equality, that is a joke.",,
IGNORE,outliers,2.683,15abecf7-b332-4526-be3f-01e33688fb40,0.3370786516853932,0.5,0.3333333333333333,0.4,2.5911610486891385,"In many legislations around the world, animals are not legally considered living beings. It is important to enshrine rights in order to also take measures against those who threaten the life and integrity of animals.",,
IGNORE,outliers,2.683,e6ee317c-7e55-41c2-88c1-cdfc8bcf79e7,0.0898876404494382,0.5,1.0,0.1333333333333333,2.6145318352059927,the legal framework is a guarantee of ethics,,
IGNORE,outliers,2.683,35915223-1d3c-461b-bdac-e3d496c379ae,0.0898876404494382,0.5,0.6666666666666667,0.4666666666666667,2.6145318352059927,,,start with something and build it over the time 
IGNORE,outliers,2.683,6da353b3-84fc-49ab-be3b-ba2fb28341bd,0.1797752808988764,0.5,0.3333333333333333,0.6666666666666667,2.615730337078652,,i think we shouldn't govern animals with our legal systems but shared decision making is interesting,
IGNORE,outliers,2.683,9d93eeb9-07d9-4ab0-bbbb-e07d2931dea3,0.146067415730337,0.5,0.6666666666666667,0.4,2.6286142322097383,,,It's much better to approach this from a building relationship point of view as opposed to legal framework as it will be under much more scrutiny
IGNORE,outliers,2.683,341991e7-fe6e-459d-bcea-608979eeaa78,0.1910112359550561,0.5,0.3333333333333333,0.6666666666666667,2.629213483146067,,,"This seems the most plausible, and will directly benefit animals and create a deeper understanding. "
IGNORE,outliers,2.683,0934f4f8-059e-4450-81c8-ddb005d4e73c,0.1573033707865168,0.5,1.0,0.0666666666666666,2.6420973782771533,,sounds best t o mee.......,
IGNORE,outliers,2.683,03921d9f-2e21-4653-9427-9fab43c28ea8,0.1573033707865168,0.5,0.6666666666666667,0.4,2.6420973782771537,,,"Obviously, option C is not suitable, and option B is currently being implemented, so option A should be the future choice."
IGNORE,outliers,2.683,7ce4c0b5-5066-40e1-934f-bc8f4b23d056,0.2022471910112359,0.5,0.3333333333333333,0.6666666666666667,2.642696629213483,,,we must use technology for good purposes
IGNORE,outliers,2.683,e71cef3a-b6e1-4309-9ed9-79cff5172dda,0.2022471910112359,0.5,0.3333333333333333,0.6666666666666667,2.642696629213483,,,in certain cases animals can be the only form of company for example for elderly people
IGNORE,outliers,2.683,efdcb9ed-90d2-4cbd-990a-f02426dba5ca,0.2921348314606741,0.5,0.3333333333333333,0.5333333333333333,2.6438951310861425,Just like for humans they should get rights and representation ,,
IGNORE,outliers,2.683,aa3bfd84-60f6-4507-a204-b49dc23c9f0e,0.1685393258426966,0.5,0.3333333333333333,0.7333333333333334,2.6555805243445696,,,Other options are very unrealistic.
IGNORE,outliers,2.683,bf024b8a-a7d3-40d1-89ab-04635cd1a0d7,0.3033707865168539,0.5,0.6666666666666667,0.1999999999999999,2.6573782771535583,,,It seems to me that in this matter future A is where there is a balance on human/animal life with less risk of misuse of technology
IGNORE,outliers,2.683,5eaf38db-8e23-4c84-9269-155af4b70bba,0.4831460674157303,0.5,0.3333333333333333,0.2666666666666667,2.6597752808988764,"None of the approaches feels appropriate to me but you didn't have a 'none of the above' option. Animals are great, fun and loved but they DO NOT poses individual rights. ",,
IGNORE,outliers,2.683,fad1d5b8-2db0-40fe-9443-08b2ecdc6e2e,0.1348314606741573,0.5,0.6666666666666667,0.4666666666666667,2.6684644194756553,,,I am not sure what B or C would add other than making things more complicated. We have to recognise the side of the animals but ultimately we do use some of them as resources
IGNORE,outliers,2.683,cd62ac7d-95f5-4d54-a6cb-b0c5eca910bb,0.3146067415730337,0.5,0.3333333333333333,0.5333333333333333,2.6708614232209738,,,It is important for humans to know how the animals are feeling to make effective decision.
IGNORE,outliers,2.683,1a59e476-09b5-4731-aa7f-5379bf8999c6,0.0561797752808988,0.5,0.6666666666666667,0.6,2.680749063670412,,,I think it would help us live in harmony.
IGNORE,outliers,2.683,a5f508e2-b457-4c0a-8ff6-78e47f8bbd59,0.146067415730337,0.5,0.3333333333333333,0.8,2.681947565543071,,"I dont know this, no answer",
IGNORE,outliers,2.683,634cc570-7609-44a9-8838-5b4dbbc70dd9,0.1910112359550561,0.5,0.6666666666666667,0.4,2.682546816479401,,,Future B and C all have humans representative that can exploit the animals
