section_num,section_title,status,claimed_at,completed_at,review_status
1,Demographics and Foundational Beliefs,in_progress,2025-09-02T18:03:31.224846,,pending
2,AI in Society and Personal Life,completed,2025-09-02T18:03:33.560548,2025-09-02T18:18:19.727827,pending
3,Beliefs about Animal Cognition and Communication,completed,2025-09-02T18:03:33.577156,2025-09-02T18:20:42.916638,pending
4,AI as an Interspecies Communication Tool,in_progress,2025-09-02T18:03:34.891339,,pending
5,"Ethics, Rights, and Governance",in_progress,2025-09-02T18:03:35.568441,,pending
6,Cross-Demographic and Cultural Insights,in_progress,2025-09-02T18:05:02.647351,,pending
7,Probing for Ideological Consistency and Contradictions,available,,,pending
8,"Qualitative Deep Dives (Analyzing the ""Why"")",available,,,pending
9,Persona-Based and Predictive Analysis,available,,,pending
10,Public Understanding of Animals & Communication,available,,,pending
11,"AI, Trust, and Technology Adoption",available,,,pending
12,"Ethics, Rights, and Governance",available,,,pending
13,"Cultural, Religious, and Regional Patterns",available,,,pending
14,Headline-Friendly Insights,available,,,pending
15,Philosophical & Emotional Dimensions,available,,,pending
16,Intersection of Human–Animal Views and Self-Identity,available,,,pending
17,Surprising Cross-Trust Dynamics,available,,,pending
18,Experiential & Exposure Effects,available,,,pending
19,Governance & Power Distribution,available,,,pending
20,Moral/Ethical Contradictions,available,,,pending
21,Risk vs. Benefit Balances,available,,,pending
22,"Emotion, Imagination, and Wonder",available,,,pending
23,Additional Cross-Analysis Questions,available,,,pending
24,"The ""Muted Middle"" — The Undecided, Neutral, and Apathetic",available,,,pending
25,The Survey as an Intervention — Measuring Opinion Shifts,available,,,pending
26,"Coherent Ethical Frameworks vs. ""A La Carte"" Morality",available,,,pending
27,Economic Anxiety and Interspecies Generosity,available,,,pending
28,Survey as Intervention — Measuring Persuasion & Change,available,,,pending
29,Emotion & Imagination as Predictors of Ethics,available,,,pending
30,Trust Landscape & Archetypes,available,,,pending
31,Contradiction & Tension Mapping,available,,,pending
32,Additional Gap-Filling Questions,available,,,pending
